perlbench 1,1075706248443
perlbench 2,370316556603
perlbench 3,671682915879
bzip2 1,401638520257
bzip2 2,170664468799
bzip2 3,279397900202
bzip2 4,526722723818
bzip2 5,571506436685
bzip2 6,321258928794
gcc 1,73801025893
gcc 2,142105382780
gcc 3,133763371400
gcc 4,99238930316
gcc 5,109189255417
gcc 6,148451003522
gcc 7,176298090573
gcc 8,163688399503
gcc 9,54925641006
mcf,306710003378
gobmk,343421070720
hmmer 1,877449727980
hmmer 2,1859479504997
sjeng,2243342560651
libquantum,2288167808012
h264ref 1,497622415943
h264ref 2,341078094074
h264ref 3,3055676152649
omnetpp,582926053244
astar 1,345626211050
astar 2,727438984237
xalan,938887140846
bwaves,2101858782207
gamess,1319822075997
milc,1207058525942
zeusmp,1801813241200
gromacs,2040681458387
cactusADM,2775539589318
leslie3d,1481037486228
namd,2256521412056
dealII,1938768939925
soplex 1,361644741085
soplex 2,373198559981
povray,1033784491086
calculix,6164351297436
GemsFDTD,1487896569757
tonto,2960945259377
lbm,1259384294879
wrf,3043133622701
sphinx,3172043166144
specrand 1,546835949
specrand 2,546835949
